"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 26 21:19:07 GMT 2024","Tue Mar 26 21:19:07 GMT 2024","82","tests.backend","test_create_project","TestCreateProject","","","Проверка невозможности создания проекта с существующим именем","Тест проверяет, что проект не может быть создан с уже существующим именем"
"passed","Tue Mar 26 21:22:58 GMT 2024","Tue Mar 26 21:23:00 GMT 2024","2044","tests.frontend","test_e2e_create_project","TestCreateProjectE2E","","","Проверка невозможности создания проекта c невалидным ID",""
"passed","Tue Mar 26 21:19:07 GMT 2024","Tue Mar 26 21:19:07 GMT 2024","202","tests.backend","test_create_project","TestCreateProject","","","Проверка успешного создания проекта разными ролями","Тест проверяет успешное создание нового проекта доступными ролями"
"passed","Tue Mar 26 21:19:44 GMT 2024","Tue Mar 26 21:19:51 GMT 2024","7877","tests.frontend","test_e2e_create_build_config","TestCreateBuildConfigE2E","","","Проверка успешного создания билд-конфигурации",""
"passed","Tue Mar 26 21:21:11 GMT 2024","Tue Mar 26 21:21:20 GMT 2024","9011","tests.frontend","test_e2e_create_project","TestCreateProjectE2E","","","Проверка успешного создания проекта (Manually) через ссылку на создание проекта",""
"passed","Tue Mar 26 21:20:26 GMT 2024","Tue Mar 26 21:20:31 GMT 2024","5181","tests.frontend","test_e2e_create_build_config","TestCreateBuildConfigE2E","","","Проверка невозможности создания билд-конфигурации без имени",""
"passed","Tue Mar 26 21:23:13 GMT 2024","Tue Mar 26 21:23:16 GMT 2024","2650","tests.frontend","test_e2e_create_project","TestCreateProjectE2E","","","Проверка невозможности создания проекта без имени",""
"passed","Tue Mar 26 21:19:06 GMT 2024","Tue Mar 26 21:19:06 GMT 2024","238","tests.backend","test_create_project","TestCreateProject","","","Проверка успешного создания проекта разными ролями","Тест проверяет успешное создание нового проекта доступными ролями"
"passed","Tue Mar 26 21:19:07 GMT 2024","Tue Mar 26 21:19:07 GMT 2024","26","tests.backend","test_create_build_config","TestBuildConfig","","","Проверка невозможности создания билд-конфигурации без обязательны полей (id проекта или имени)","Тест проверяет, что билд-конфигурация не создана без id проекта или имени"
"passed","Tue Mar 26 21:22:38 GMT 2024","Tue Mar 26 21:22:42 GMT 2024","3539","tests.frontend","test_e2e_create_project","TestCreateProjectE2E","","","Проверка создания под-проекта при клике на New Project из существующего проекта на Home Page",""
"passed","Tue Mar 26 21:22:20 GMT 2024","Tue Mar 26 21:22:24 GMT 2024","4274","tests.frontend","test_e2e_create_project","TestCreateProjectE2E","","","Проверка перехода на страницу создания под-проекта при клике на New Project... из существующего проекта на Home Page",""
"passed","Tue Mar 26 21:19:06 GMT 2024","Tue Mar 26 21:19:06 GMT 2024","418","tests.backend","test_create_build_config","TestBuildConfig","","","Проверка успешного создания билд-конфигурации","Тест проверяет успешное создание новой билд-конфигурации"
"passed","Tue Mar 26 21:22:53 GMT 2024","Tue Mar 26 21:22:54 GMT 2024","1071","tests.frontend","test_e2e_create_project","TestCreateProjectE2E","","","Проверка невозможности создания проекта без имени",""
"passed","Tue Mar 26 21:19:06 GMT 2024","Tue Mar 26 21:19:06 GMT 2024","82","tests.backend","test_create_build_config","TestBuildConfig","","","Проверка создания билд-конфигурации только с обязательными параметрами (имя и id проекта)","Тест проверяет создание новой билд-конфигурации только с именем и id проекта с теле запроса"
"passed","Tue Mar 26 21:21:54 GMT 2024","Tue Mar 26 21:21:58 GMT 2024","3623","tests.frontend","test_e2e_create_project","TestCreateProjectE2E","","","Проверка перехода на страницу создания проекта при клике на New Project... на Home Page, если существует хотя бы один проект]",""
"passed","Tue Mar 26 21:19:07 GMT 2024","Tue Mar 26 21:19:10 GMT 2024","2542","tests.backend","test_run_build","TestBuildRun","","","Проверка запуска билда","Тест проверяет запуск билда и его статус билд конфигурации после запуска"
"passed","Tue Mar 26 21:21:46 GMT 2024","Tue Mar 26 21:21:49 GMT 2024","2661","tests.frontend","test_e2e_create_project","TestCreateProjectE2E","","","Проверка перехода на страницу создания проекта при клике на + рядом с лейблом Projects в хедере",""
"passed","Tue Mar 26 21:21:34 GMT 2024","Tue Mar 26 21:21:38 GMT 2024","4070","tests.frontend","test_e2e_create_project","TestCreateProjectE2E","","","Проверка перехода на страницу создания проекта при клике на + рядом с лейблом Projects в хедере",""
"passed","Tue Mar 26 21:19:07 GMT 2024","Tue Mar 26 21:19:07 GMT 2024","9","tests.backend","test_create_project","TestCreateProject","","","Проверка невозможности создания проекта без тела запроса","Тест проверяет, что проект не создан при отправке запроса без тела"
