"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 31 11:12:52 GMT 2024","Sun Mar 31 11:12:53 GMT 2024","1214","tests.frontend","test_e2e_create_project","TestCreateProjectE2E","","","Проверка невозможности создания проекта c невалидным ID",""
"passed","Sun Mar 31 11:07:59 GMT 2024","Sun Mar 31 11:08:02 GMT 2024","3505","tests.frontend","test_e2e_create_build_config","TestCreateBuildConfigE2E","","","Проверка невозможности создания билд-конфигурации c невалидным ID",""
"passed","Sun Mar 31 11:12:46 GMT 2024","Sun Mar 31 11:12:48 GMT 2024","1950","tests.frontend","test_e2e_create_project","TestCreateProjectE2E","","","Проверка невозможности создания проекта c невалидным ID",""
"failed","Sun Mar 31 11:10:08 GMT 2024","Sun Mar 31 11:10:41 GMT 2024","32947","tests.frontend","test_e2e_create_project","TestCreateProjectE2E","","","Проверка перехода на страницу создания под-проекта при клике на New Project... из существующего проекта на Home Page",""
"passed","Sun Mar 31 11:08:42 GMT 2024","Sun Mar 31 11:08:44 GMT 2024","2110","tests.frontend","test_e2e_create_project","TestCreateProjectE2E","","","Проверка успешного создания проекта (Manually) через ссылку на создание проекта",""
"passed","Sun Mar 31 11:05:49 GMT 2024","Sun Mar 31 11:05:49 GMT 2024","116","tests.backend","test_create_project","TestCreateProject","","","Проверка успешного создания проекта разными ролями","Тест проверяет успешное создание нового проекта доступными ролями"
"passed","Sun Mar 31 11:06:33 GMT 2024","Sun Mar 31 11:06:35 GMT 2024","2954","tests.frontend","test_e2e_create_build_config","TestCreateBuildConfigE2E","","","Проверка успешного создания билд-конфигурации",""
"passed","Sun Mar 31 11:05:49 GMT 2024","Sun Mar 31 11:05:49 GMT 2024","55","tests.backend","test_create_build_config","TestBuildConfig","","","Проверка создания билд-конфигурации только с обязательными параметрами (имя и id проекта)","Тест проверяет создание новой билд-конфигурации только с именем и id проекта с теле запроса"
"passed","Sun Mar 31 11:05:49 GMT 2024","Sun Mar 31 11:05:49 GMT 2024","49","tests.backend","test_create_project","TestCreateProject","","","Проверка невозможности создания проекта невалидными ролями","Тест проверяет, что проект не создан невалидными ролями и что его нет в общем списке проектов."
"passed","Sun Mar 31 11:05:50 GMT 2024","Sun Mar 31 11:05:50 GMT 2024","45","tests.backend","test_create_project","TestCreateProject","","","Проверка создания проекта только с именем","Тест проверяет создание нового проекта, если передать только имя"
"passed","Sun Mar 31 11:09:03 GMT 2024","Sun Mar 31 11:09:04 GMT 2024","1063","tests.frontend","test_e2e_create_project","TestCreateProjectE2E","","","Проверка перехода на страницу создания проекта при клике на + рядом с лейблом Projects в хедере",""
"passed","Sun Mar 31 11:08:35 GMT 2024","Sun Mar 31 11:08:38 GMT 2024","3095","tests.frontend","test_e2e_create_project","TestCreateProjectE2E","","","Проверка успешного создания проекта (Manually) через ссылку на создание проекта",""
"passed","Sun Mar 31 11:07:26 GMT 2024","Sun Mar 31 11:07:31 GMT 2024","4578","tests.frontend","test_e2e_create_build_config","TestCreateBuildConfigE2E","","","Проверка успешного создания билд-конфигурации и проекта из repository URL",""
"passed","Sun Mar 31 11:08:16 GMT 2024","Sun Mar 31 11:08:17 GMT 2024","1325","tests.frontend","test_e2e_create_build_config","TestCreateBuildConfigE2E","","","Проверка невозможности создания билд-конфигурации c невалидным ID",""
